ticker,name,sector,industry
ODFL,Old Dominion,Industrials,Cargo Ground Transportation
ORCL,Oracle Corporation,Information Technology,Application Software
PLTR,Palantir Technologies,Information Technology,Application Software
PAYX,Paychex,Industrials,Human Resource &amp; Employment Services
PFE,Pfizer,Health Care,Pharmaceuticals
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PPL,PPL Corporation,Utilities,Electric Utilities
PLD,Prologis,Real Estate,Industrial REITs
PSA,Public Storage,Real Estate,Self-Storage REITs
DGX,Quest Diagnostics,Health Care,Health Care Services
RTX,RTX Corporation,Industrials,Aerospace &amp; Defense
RF,Regions Financial Corporation,Financials,Regional Banks
HOOD,Robinhood Markets,Financials,Investment Banking &amp; Brokerage
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage &amp; Peripherals"
SRE,Sempra,Utilities,Multi-Utilities
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SOLV,Solventum,Health Care,Health Care Technology
SBUX,Starbucks,Consumer Discretionary,Restaurants
SYK,Stryker Corporation,Health Care,Health Care Equipment
SYY,Sysco,Consumer Staples,Food Distributors
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories &amp; Luxury Goods"
TDY,Teledyne Technologies,Information Technology,Electronic Equipment &amp; Instruments
TPL,Texas Pacific Land Corporation,Energy,Oil &amp; Gas Exploration &amp; Production
TKO,TKO Group Holdings,Communication Services,Movies &amp; Entertainment
TDG,TransDigm Group,Industrials,Aerospace &amp; Defense
TYL,Tyler Technologies,Information Technology,Application Software
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
UPS,United Parcel Service,Industrials,Air Freight &amp; Logistics
VLO,Valero Energy,Energy,Oil &amp; Gas Refining &amp; Marketing
VRSK,Verisk Analytics,Industrials,Research &amp; Consulting Services
VTRS,Viatris,Health Care,Pharmaceuticals
VMC,Vulcan Materials Company,Materials,Construction Materials
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
WAT,Waters Corporation,Health Care,Life Sciences Tools &amp; Services
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WMB,Williams Companies,Energy,Oil &amp; Gas Storage &amp; Transportation
XEL,Xcel Energy,Utilities,Multi-Utilities
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
