ticker,name,sector,industry
MDT,Medtronic,Health Care,Health Care Equipment
MTD,Mettler Toledo,Health Care,Life Sciences Tools &amp; Services
MSFT,Microsoft,Information Technology,Systems Software
MDLZ,Mondelez International,Consumer Staples,Packaged Foods &amp; Meats
MS,Morgan Stanley,Financials,Investment Banking &amp; Brokerage
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges &amp; Data
NWSA,News Corp (Class A),Communication Services,Publishing
NI,NiSource,Utilities,Multi-Utilities
NOC,Northrop Grumman,Industrials,Aerospace &amp; Defense
NVDA,Nvidia,Information Technology,Semiconductors
OXY,Occidental Petroleum,Energy,Oil &amp; Gas Exploration &amp; Production
OKE,Oneok,Energy,Oil &amp; Gas Storage &amp; Transportation
PKG,Packaging Corporation of America,Materials,Paper &amp; Plastic Packaging Products &amp; Materials
PH,Parker Hannifin,Industrials,Industrial Machinery &amp; Supplies &amp; Components
PEP,PepsiCo,Consumer Staples,Soft Drinks &amp; Non-alcoholic Beverages
PSX,Phillips 66,Energy,Oil &amp; Gas Refining &amp; Marketing
PPG,PPG Industries,Materials,Specialty Chemicals
PGR,Progressive Corporation,Financials,Property &amp; Casualty Insurance
PTC,PTC Inc.,Information Technology,Application Software
QCOM,Qualcomm,Information Technology,Semiconductors
RJF,Raymond James Financial,Financials,Investment Banking &amp; Brokerage
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
RVTY,Revvity,Health Care,Health Care Equipment
ROP,Roper Technologies,Information Technology,Electronic Equipment &amp; Instruments
CRM,Salesforce,Information Technology,Application Software
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage &amp; Peripherals"
SPG,Simon Property Group,Real Estate,Retail REITs
SNA,Snap-on,Industrials,Industrial Machinery &amp; Supplies &amp; Components
SWK,Stanley Black &amp; Decker,Industrials,Industrial Machinery &amp; Supplies &amp; Components
STE,Steris,Health Care,Health Care Equipment
SNPS,Synopsys,Information Technology,Application Software
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TXN,Texas Instruments,Information Technology,Semiconductors
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TT,Trane Technologies,Industrials,Building Products
TFC,Truist Financial,Financials,Diversified Banks
UBER,Uber,Industrials,Passenger Ground Transportation
UAL,United Airlines Holdings,Industrials,Passenger Airlines
UHS,Universal Health Services,Health Care,Health Care Facilities
VRSN,Verisign,Information Technology,Internet Services &amp; Infrastructure
VRT,Vertiv,Industrials,Electrical Components &amp; Equipment
VST,Vistra Corp.,Utilities,Electric Utilities
WAB,Wabtec,Industrials,Construction Machinery &amp; Heavy Transportation Equipment
WM,Waste Management,Industrials,Environmental &amp; Facilities Services
WELL,Welltower,Real Estate,Health Care REITs
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
WYNN,Wynn Resorts,Consumer Discretionary,Casinos &amp; Gaming
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment &amp; Instruments
